#Datos de cortas de madeira en Galicia entre 1972 e 2004, tomados dos Anuarios de Estadística Agraria.
#Eduardo Corbelle Rico, 8 de setembro de 2017
#Datos en metros cúbicos
#
#-------------------

ano,provincia,grupo,volume
1994,Ourense,Coníferas,NA
1994,Pontevedra,Coníferas,NA
1994,A Coruña,Eucalipto,907229
1994,Lugo,Eucalipto,409369
1994,Ourense,Eucalipto,4804
1994,Pontevedra,Eucalipto,385773
1994,A Coruña,Frondosas,938373
1994,Lugo,Frondosas,472238
1994,Ourense,Frondosas,15658
1994,Pontevedra,Frondosas,410961
1995,A Coruña,Coníferas,1240704
1995,Lugo,Coníferas,1068957
1995,Ourense,Coníferas,384354
1995,Pontevedra,Coníferas,424155
1995,A Coruña,Eucalipto,1362215
1995,Lugo,Eucalipto,457728
1995,Ourense,Eucalipto,4451
1995,Pontevedra,Eucalipto,518990
1995,A Coruña,Frondosas,1380285
1995,Lugo,Frondosas,510807
1995,Ourense,Frondosas,27113
1995,Pontevedra,Frondosas,548745
1996,A Coruña,Coníferas,1310810
1996,Lugo,Coníferas,1128946
1996,Ourense,Coníferas,405951
1996,Pontevedra,Coníferas,447950
1996,A Coruña,Eucalipto,1391280
1996,Lugo,Eucalipto,467493
1996,Ourense,Eucalipto,4546
1996,Pontevedra,Eucalipto,530065
1996,A Coruña,Frondosas,1413005
1996,Lugo,Frondosas,531314
1996,Ourense,Frondosas,31868
1996,Pontevedra,Frondosas,565840
1998,A Coruña,Coníferas,1096563
1998,Lugo,Coníferas,1011224
1998,Ourense,Coníferas,301926
1998,Pontevedra,Coníferas,540946
1998,A Coruña,Eucalipto,1016659
1998,Lugo,Eucalipto,875479
1998,Ourense,Eucalipto,7587
1998,Pontevedra,Eucalipto,865133
1998,A Coruña,Frondosas,1035000
1998,Lugo,Frondosas,930480
1998,Ourense,Frondosas,35606
1998,Pontevedra,Frondosas,886543
1999,A Coruña,Coníferas,1110818
1999,Lugo,Coníferas,1024371
1999,Ourense,Coníferas,305851
1999,Pontevedra,Coníferas,547977
1999,A Coruña,Eucalipto,1029875
1999,Lugo,Eucalipto,886861
1999,Ourense,Eucalipto,7685
1999,Pontevedra,Eucalipto,876379
1999,A Coruña,Frondosas,1048455
1999,Lugo,Frondosas,942577
1999,Ourense,Frondosas,36068
1999,Pontevedra,Frondosas,898068
2001,A Coruña,Coníferas,588187
2001,Lugo,Coníferas,1261212
2001,Ourense,Coníferas,289864
2001,Pontevedra,Coníferas,313654
2001,A Coruña,Eucalipto,1302856
2001,Lugo,Eucalipto,823813
2001,Ourense,Eucalipto,9836
2001,Pontevedra,Eucalipto,415857
2001,A Coruña,Frondosas,1326564
2001,Lugo,Frondosas,943146
2001,Ourense,Frondosas,42281
2001,Pontevedra,Frondosas,431156
2002,A Coruña,Coníferas,410725
2002,Lugo,Coníferas,1159327
2002,Ourense,Coníferas,199959
2002,Pontevedra,Coníferas,295042
2002,A Coruña,Eucalipto,1344982
2002,Lugo,Eucalipto,853578
2002,Ourense,Eucalipto,8929
2002,Pontevedra,Eucalipto,446702
2002,A Coruña,Frondosas,1367537
2002,Lugo,Frondosas,974795
2002,Ourense,Frondosas,45740
2002,Pontevedra,Frondosas,456942
2003,A Coruña,Coníferas,672434
2003,Lugo,Coníferas,1234135
2003,Ourense,Coníferas,759746
2003,Pontevedra,Coníferas,539998
2003,A Coruña,Eucalipto,1672529
2003,Lugo,Eucalipto,444962
2003,Ourense,Eucalipto,27332
2003,Pontevedra,Eucalipto,548272
2003,A Coruña,Frondosas,1721518
2003,Lugo,Frondosas,533359
2003,Ourense,Frondosas,42484
2003,Pontevedra,Frondosas,617200
